time
0.848
6.06
1.121
5.454
0.571
0.933
9.67
8.105
11.136
3.069
5.668
2.684
15.454
3.02
7.631
60.867
6.86
0.181
0.527
12.039
1.492
6.965
1.351
10.294
15.056
2.415
5.377
0.391
4.747
6.345
101.704
15.845
6.165
0.545
1.224
2.9
2.8
3.426
11.527
1.337
1.987
5.879
22.237
6.301
0.859
2.181
21.183
8.23
32.602
5.63
4.814
2.782
1.557
14.397
1.241
17.496
0.54
0.999
60.287
1.027
0.567
1.638
0.897
2.288
0.585
8.422
0.734
36.406
2.767
5.866
5.583
4.595
17.566
2.849
6.715
22.215
1.287
32.212
9.988
0.893
2.486
1.866
0.32
8.592
6.171
0.889
0.724
0.734
2.932
5.738
0.919
1.684
15.621
4.669
1.033
1.033
23.31
1.865
5.568
