query,calls,server
1,30,"E1"
1,26,"E2"
2,173,"E1"
2,161,"E2"
3,44,"E1"
3,37,"E2"
4,139,"E1"
4,119,"E2"
5,10,"E1"
5,7,"E2"
6,40,"E1"
6,24,"E2"
7,478,"E1"
7,446,"E2"
8,551,"E1"
8,307,"E2"
9,531,"E1"
9,524,"E2"
10,139,"E1"
10,131,"E2"
11,275,"E1"
11,266,"E2"
12,143,"E1"
12,134,"E2"
13,727,"E1"
13,690,"E2"
14,214,"E1"
14,153,"E2"
15,346,"E1"
15,366,"E2"
16,42,"E1"
16,24,"E2"
17,319,"E1"
17,255,"E2"
18,7,"E1"
18,3,"E2"
19,25,"E1"
19,16,"E2"
20,1109,"E1"
20,1001,"E2"
21,69,"E1"
21,63,"E2"
22,281,"E1"
22,278,"E2"
23,69,"E1"
23,63,"E2"
24,544,"E1"
24,376,"E2"
25,720,"E1"
25,731,"E2"
26,131,"E1"
26,147,"E2"
27,166,"E1"
27,174,"E2"
28,16,"E1"
28,14,"E2"
29,222,"E1"
29,147,"E2"
30,270,"E1"
30,278,"E2"
31,469,"E1"
31,466,"E2"
32,745,"E1"
32,777,"E2"
33,137,"E1"
33,129,"E2"
34,22,"E1"
34,11,"E2"
35,36,"E1"
35,41,"E2"
36,68,"E1"
36,57,"E2"
37,125,"E1"
37,117,"E2"
38,228,"E1"
38,196,"E2"
39,913,"E1"
39,811,"E2"
40,53,"E1"
40,45,"E2"
41,63,"E1"
41,61,"E2"
42,242,"E1"
42,170,"E2"
43,1662,"E1"
43,917,"E2"
44,454,"E1"
44,284,"E2"
45,32,"E1"
45,18,"E2"
46,130,"E1"
46,97,"E2"
47,1657,"E1"
47,383,"E2"
48,248,"E1"
48,258,"E2"
49,1851,"E1"
49,1914,"E2"
50,245,"E1"
50,254,"E2"
51,206,"E1"
51,234,"E2"
52,52,"E1"
52,74,"E2"
53,63,"E1"
53,46,"E2"
54,759,"E1"
54,773,"E2"
55,48,"E1"
55,45,"E2"
56,711,"E1"
56,669,"E2"
57,21,"E1"
57,8,"E2"
58,57,"E1"
58,51,"E2"
59,33,"E1"
59,34,"E2"
60,60,"E1"
60,14,"E2"
61,19,"E1"
61,11,"E2"
62,65,"E1"
62,66,"E2"
63,40,"E1"
63,40,"E2"
64,119,"E1"
64,95,"E2"
65,18,"E1"
65,16,"E2"
66,489,"E1"
66,293,"E2"
68,26,"E1"
68,24,"E2"
69,3499,"E1"
69,2300,"E2"
70,57,"E1"
70,68,"E2"
71,171,"E1"
71,165,"E2"
72,334,"E1"
72,274,"E2"
73,206,"E1"
73,206,"E2"
74,1061,"E1"
74,785,"E2"
75,128,"E1"
75,105,"E2"
76,328,"E1"
76,289,"E2"
77,1085,"E1"
77,1037,"E2"
78,55,"E1"
78,39,"E2"
79,1319,"E1"
79,1255,"E2"
80,688,"E1"
80,224,"E2"
81,32,"E1"
81,26,"E2"
82,87,"E1"
82,122,"E2"
83,67,"E1"
83,85,"E2"
84,9,"E1"
84,3,"E2"
85,352,"E1"
85,339,"E2"
86,135,"E1"
86,128,"E2"
87,38,"E1"
87,30,"E2"
88,19,"E1"
88,9,"E2"
89,39,"E1"
89,35,"E2"
90,130,"E1"
90,118,"E2"
91,254,"E1"
91,287,"E2"
92,38,"E1"
92,31,"E2"
93,57,"E1"
93,53,"E2"
94,683,"E1"
94,735,"E2"
95,250,"E1"
95,222,"E2"
96,48,"E1"
96,49,"E2"
97,40,"E1"
97,31,"E2"
98,1127,"E1"
98,1086,"E2"
99,100,"E1"
99,33,"E2"
100,291,"E1"
100,271,"E2"
