query,calls,server
1,20,"E1"
1,19,"E2"
1,19,"E3"
2,131,"E1"
2,143,"E2"
2,127,"E3"
3,33,"E1"
3,27,"E2"
3,23,"E3"
4,88,"E1"
4,83,"E2"
4,87,"E3"
5,15,"E1"
5,1,"E2"
5,2,"E3"
6,32,"E1"
6,18,"E2"
6,18,"E3"
7,300,"E1"
7,302,"E2"
7,323,"E3"
8,533,"E1"
8,205,"E2"
8,216,"E3"
9,369,"E1"
9,350,"E2"
9,366,"E3"
10,91,"E1"
10,79,"E2"
10,101,"E3"
11,180,"E1"
11,158,"E2"
11,204,"E3"
12,95,"E1"
12,90,"E2"
12,93,"E3"
13,448,"E1"
13,462,"E2"
13,509,"E3"
14,171,"E1"
14,103,"E2"
14,106,"E3"
15,219,"E1"
15,252,"E2"
15,243,"E3"
16,24,"E1"
16,26,"E2"
16,17,"E3"
17,277,"E1"
17,150,"E2"
17,149,"E3"
18,6,"E1"
18,1,"E2"
18,3,"E3"
19,18,"E1"
19,10,"E2"
19,15,"E3"
20,861,"E1"
20,724,"E2"
20,721,"E3"
21,49,"E1"
21,31,"E2"
21,53,"E3"
22,213,"E1"
22,185,"E2"
22,188,"E3"
23,51,"E1"
23,44,"E2"
23,37,"E3"
24,432,"E1"
24,284,"E2"
24,251,"E3"
25,498,"E1"
25,462,"E2"
25,491,"E3"
26,93,"E1"
26,87,"E2"
26,99,"E3"
27,114,"E1"
27,114,"E2"
27,112,"E3"
28,11,"E1"
28,4,"E2"
28,16,"E3"
29,145,"E1"
29,124,"E2"
29,106,"E3"
30,189,"E1"
30,175,"E2"
30,184,"E3"
31,412,"E1"
31,353,"E2"
31,333,"E3"
32,506,"E1"
32,504,"E2"
32,514,"E3"
33,83,"E1"
33,94,"E2"
33,90,"E3"
34,15,"E1"
34,8,"E2"
34,11,"E3"
35,27,"E1"
35,27,"E2"
35,24,"E3"
36,49,"E1"
36,43,"E2"
36,38,"E3"
37,101,"E1"
37,71,"E2"
37,71,"E3"
38,171,"E1"
38,136,"E2"
38,130,"E3"
39,712,"E1"
39,540,"E2"
39,554,"E3"
40,42,"E1"
40,33,"E2"
40,24,"E3"
41,52,"E1"
41,38,"E2"
41,36,"E3"
42,206,"E1"
42,101,"E2"
42,112,"E3"
43,1638,"E1"
43,645,"E2"
43,624,"E3"
44,407,"E1"
44,179,"E2"
44,162,"E3"
45,18,"E1"
45,17,"E2"
45,17,"E3"
46,101,"E1"
46,75,"E2"
46,71,"E3"
47,1621,"E1"
47,333,"E2"
47,318,"E3"
48,216,"E1"
48,220,"E2"
48,242,"E3"
49,1361,"E1"
49,1327,"E2"
49,1343,"E3"
50,190,"E1"
50,176,"E2"
50,161,"E3"
51,148,"E1"
51,145,"E2"
51,148,"E3"
52,50,"E1"
52,44,"E2"
52,34,"E3"
53,36,"E1"
53,34,"E2"
53,40,"E3"
54,542,"E1"
54,506,"E2"
54,546,"E3"
55,32,"E1"
55,35,"E2"
55,28,"E3"
56,465,"E1"
56,470,"E2"
56,447,"E3"
57,19,"E1"
57,8,"E2"
57,4,"E3"
58,47,"E1"
58,31,"E2"
58,35,"E3"
59,20,"E1"
59,15,"E2"
59,32,"E3"
60,58,"E1"
60,8,"E2"
60,19,"E3"
61,13,"E1"
61,7,"E2"
61,10,"E3"
62,41,"E1"
62,49,"E2"
62,43,"E3"
63,29,"E1"
63,19,"E2"
63,33,"E3"
64,97,"E1"
64,67,"E2"
64,56,"E3"
65,13,"E1"
65,13,"E2"
65,9,"E3"
66,443,"E1"
66,168,"E2"
66,169,"E3"
68,18,"E1"
68,15,"E2"
68,17,"E3"
69,3097,"E1"
69,1655,"E2"
69,1616,"E3"
70,39,"E1"
70,50,"E2"
70,39,"E3"
71,136,"E1"
71,124,"E2"
71,132,"E3"
72,273,"E1"
72,188,"E2"
72,178,"E3"
73,128,"E1"
73,134,"E2"
73,150,"E3"
74,929,"E1"
74,620,"E2"
74,576,"E3"
75,98,"E1"
75,62,"E2"
75,72,"E3"
76,199,"E1"
76,212,"E2"
76,208,"E3"
77,711,"E1"
77,693,"E2"
77,719,"E3"
78,34,"E1"
78,29,"E2"
78,32,"E3"
79,1178,"E1"
79,1002,"E2"
79,977,"E3"
80,641,"E1"
80,156,"E2"
80,157,"E3"
81,20,"E1"
81,20,"E2"
81,18,"E3"
82,77,"E1"
82,75,"E2"
82,59,"E3"
83,62,"E1"
83,37,"E2"
83,53,"E3"
84,8,"E1"
84,2,"E2"
84,3,"E3"
85,248,"E1"
85,218,"E2"
85,226,"E3"
86,86,"E1"
86,89,"E2"
86,88,"E3"
87,30,"E1"
87,20,"E2"
87,23,"E3"
88,14,"E1"
88,8,"E2"
88,7,"E3"
89,33,"E1"
89,24,"E2"
89,18,"E3"
90,96,"E1"
90,69,"E2"
90,85,"E3"
91,190,"E1"
91,173,"E2"
91,178,"E3"
92,29,"E1"
92,19,"E2"
92,22,"E3"
93,45,"E1"
93,41,"E2"
93,25,"E3"
94,468,"E1"
94,501,"E2"
94,450,"E3"
95,191,"E1"
95,151,"E2"
95,152,"E3"
96,38,"E1"
96,37,"E2"
96,23,"E3"
97,33,"E1"
97,15,"E2"
97,24,"E3"
98,784,"E1"
98,768,"E2"
98,754,"E3"
99,98,"E1"
99,20,"E2"
99,29,"E3"
100,203,"E1"
100,187,"E2"
100,173,"E3"
