time
0.881
6.14
1.124
5.438
0.368
0.746
9.639
8.116
11.076
2.93
5.821
2.671
15.215
3.016
7.678
59.41
6.738
0.275
0.626
12.276
1.596
7.452
1.64
10.495
14.925
2.688
5.213
0.399
4.826
6.228
103.368
15.617
6.102
0.544
1.213
2.918
2.95
3.611
11.461
1.311
1.909
6.665
22.037
6.251
0.853
2.206
21.218
8.288
32.315
5.751
4.865
2.753
1.497
14.494
1.231
17.613
0.537
1.019
58.65
1.086
0.567
1.657
1.102
2.354
0.537
8.34
0.729
36.465
2.815
5.97
5.564
4.591
16.961
2.831
6.665
21.958
1.256
32.901
9.891
0.929
2.425
1.813
0.357
8.804
5.94
0.876
0.72
0.709
2.883
5.797
0.873
1.618
15.463
4.597
1.011
1.066
23.27
2.092
5.589
