time
0.711
7.598
1.006
6.57
0.395
0.808
9.782
11.214
11.305
3.199
5.6
3.18
15.466
3.372
7.53
62.5
7.885
0.167
0.572
12.925
1.407
7.902
1.478
12.389
14.677
3.163
5.183
0.386
5.62
6.296
120.935
15.802
6.151
0.449
1.104
2.891
2.877
3.535
14.514
1.246
1.742
6.99
34.492
7.096
0.658
2.843
25.855
12.722
42.966
7.875
4.729
2.811
1.498
16.254
1.158
17.549
0.329
1.197
62.591
1.376
0.348
1.432
0.936
2.385
0.369
9.855
0.634
59.447
2.9
7.596
5.207
4.499
20.817
3.218
6.395
21.816
1.192
47.149
12.244
0.708
2.314
1.662
0.176
8.627
6.034
0.85
0.484
0.93
2.69
5.728
0.867
1.664
15.41
4.57
1.294
0.818
25.208
2.337
7.142
