time
0.724
8.306
1.008
6.727
0.539
0.908
9.779
11.903
11.755
3.074
5.799
3.149
15.467
3.463
7.412
68.793
7.681
0.179
0.546
14.405
1.507
7.982
1.489
12.714
14.874
3.168
5.189
0.412
5.728
6.288
137.321
15.602
6.046
0.456
1.14
2.957
2.957
3.909
15.26
1.21
1.851
7.288
35.901
7.257
0.699
2.864
27.383
14.999
45.416
7.958
4.768
2.947
1.54
16.863
1.137
17.629
0.427
1.265
69.762
1.354
0.417
1.562
0.957
2.627
0.466
10.123
0.74
64.739
2.989
8.386
5.462
4.466
23.163
3.558
6.624
21.737
1.14
57.523
13.045
0.806
2.358
1.813
0.245
8.625
6.149
1.08
0.562
0.949
2.744
5.692
0.863
1.598
15.632
4.71
1.31
0.96
25.744
2.478
7.298
